Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
IV5,Nov 2007,Dec 2018,-,"£347,500",5+ Bedrooms,-
IV5,Nov 2007,Dec 2018,"£310,000","£215,000",4 Bedrooms,-31%
IV51,Oct 2007,Dec 2018,"£190,000","£205,000",3 Bedrooms,+8%
IV51,Oct 2007,Dec 2018,"£125,000","£75,000",1 Bedroom,-40%
IV51,Oct 2007,Dec 2018,"£190,000","£265,000",All,+39%
IV51,Oct 2007,Dec 2018,"£147,500","£153,750",2 Bedrooms,+4%
IV51,Oct 2007,Dec 2018,"£375,000","£350,000",5+ Bedrooms,-7%
IV51,Oct 2007,Dec 2018,"£250,000","£305,000",4 Bedrooms,+22%
IV52,Oct 2007,Dec 2018,"£322,500",-,3 Bedrooms,-
IV52,Oct 2007,Dec 2018,-,-,1 Bedroom,-
IV52,Oct 2007,Dec 2018,"£322,500","£495,000",All,+53%
IV52,Oct 2007,Dec 2018,-,-,2 Bedrooms,-
IV52,Oct 2007,Dec 2018,-,-,5+ Bedrooms,-
IV52,Oct 2007,Dec 2018,-,"£495,000",4 Bedrooms,-
IV53,Oct 2007,Dec 2018,-,-,3 Bedrooms,-
IV53,Oct 2007,Dec 2018,"£60,000",-,1 Bedroom,-
IV53,Oct 2007,Dec 2018,"£60,000","£364,995",All,+508%
IV53,Oct 2007,Dec 2018,-,-,2 Bedrooms,-
IV53,Oct 2007,Dec 2018,-,"£364,995",5+ Bedrooms,-
IV53,Oct 2007,Dec 2018,-,-,4 Bedrooms,-
IV54,Oct 2007,Dec 2018,"£280,000","£132,500",3 Bedrooms,-53%
IV54,Oct 2007,Dec 2018,-,"£67,500",1 Bedroom,-
IV54,Oct 2007,Dec 2018,"£270,000","£115,750",All,-57%
IV54,Oct 2007,Dec 2018,"£225,000","£350,000",2 Bedrooms,+56%
IV54,Oct 2007,Dec 2018,-,"£180,000",5+ Bedrooms,-
IV54,Oct 2007,Dec 2018,-,"£175,000",4 Bedrooms,-
IV55,Oct 2007,Dec 2018,"£310,000","£209,500",3 Bedrooms,-32%
IV55,Oct 2007,Dec 2018,"£160,000",-,1 Bedroom,-
IV55,Oct 2007,Dec 2018,"£250,000","£280,000",All,+12%
IV55,Oct 2007,Dec 2018,-,-,2 Bedrooms,-
IV55,Oct 2007,Dec 2018,"£650,000","£315,000",5+ Bedrooms,-52%
IV55,Oct 2007,Dec 2018,"£140,000","£292,500",4 Bedrooms,+109%
IV56,Oct 2007,Dec 2018,-,"£222,250",3 Bedrooms,-
IV56,Oct 2007,Dec 2018,"£135,000","£70,000",1 Bedroom,-48%
IV56,Oct 2007,Dec 2018,"£192,500","£355,000",All,+84%
IV56,Oct 2007,Dec 2018,-,-,2 Bedrooms,-
IV56,Oct 2007,Dec 2018,-,"£425,000",5+ Bedrooms,-
IV56,Oct 2007,Dec 2018,"£250,000","£680,000",4 Bedrooms,+172%
IV6,Oct 2007,Dec 2018,"£210,000","£182,000",3 Bedrooms,-13%
IV6,Oct 2007,Dec 2018,"£69,000",-,1 Bedroom,-
IV6,Oct 2007,Dec 2018,"£214,500","£182,000",All,-15%
IV6,Oct 2007,Dec 2018,-,"£120,000",2 Bedrooms,-
IV6,Oct 2007,Dec 2018,"£219,000","£1,450,000",5+ Bedrooms,+562%
IV6,Oct 2007,Dec 2018,"£289,000","£295,000",4 Bedrooms,+2%
IV63,Oct 2007,Dec 2018,"£290,000","£213,000",3 Bedrooms,-27%
IV63,Oct 2007,Dec 2018,"£65,000",-,1 Bedroom,-
IV63,Oct 2007,Dec 2018,"£312,500","£265,000",All,-15%
IV63,Oct 2007,Dec 2018,-,"£167,498",2 Bedrooms,-
IV63,Oct 2007,Dec 2018,"£475,000","£440,000",5+ Bedrooms,-7%
IV63,Oct 2007,Dec 2018,"£372,500","£297,500",4 Bedrooms,-20%
IV7,Oct 2007,Dec 2018,"£195,000","£222,500",3 Bedrooms,+14%
IV7,Oct 2007,Dec 2018,-,-,1 Bedroom,-
IV7,Oct 2007,Dec 2018,"£275,000","£265,000",All,-4%
IV7,Oct 2007,Dec 2018,-,"£142,000",2 Bedrooms,-
IV7,Oct 2007,Dec 2018,"£360,000","£357,500",5+ Bedrooms,-1%
IV7,Oct 2007,Dec 2018,"£295,000","£318,000",4 Bedrooms,+8%
HU17,Sep 2006,Dec 2018,"£175,000","£227,500",3 Bedrooms,+30%
HU17,Sep 2006,Dec 2018,"£119,995","£104,975",1 Bedroom,-13%
HU17,Sep 2006,Dec 2018,"£184,950","£250,000",All,+35%
HU17,Sep 2006,Dec 2018,"£131,500","£150,000",2 Bedrooms,+14%
HU17,Sep 2006,Dec 2018,"£359,950","£575,000",5+ Bedrooms,+60%
HU17,Sep 2006,Dec 2018,"£249,950","£330,000",4 Bedrooms,+32%
IV8,Oct 2007,Dec 2018,-,"£215,500",3 Bedrooms,-
IV8,Oct 2007,Dec 2018,-,-,1 Bedroom,-
IV8,Oct 2007,Dec 2018,"£330,000","£232,750",All,-29%
IV8,Oct 2007,Dec 2018,-,-,2 Bedrooms,-
IV8,Oct 2007,Dec 2018,-,"£420,000",5+ Bedrooms,-
IV8,Oct 2007,Dec 2018,"£330,000","£250,250",4 Bedrooms,-24%
IV9,Mar 2008,Dec 2018,"£120,000","£114,000",3 Bedrooms,-5%
IV9,Mar 2008,Dec 2018,-,"£93,000",1 Bedroom,-
IV9,Mar 2008,Dec 2018,"£120,000","£145,000",All,+21%
IV9,Mar 2008,Dec 2018,-,"£140,000",2 Bedrooms,-
IV9,Mar 2008,Dec 2018,-,"£260,000",5+ Bedrooms,-
IV9,Mar 2008,Dec 2018,-,"£267,498",4 Bedrooms,-
KA1,Oct 2007,Dec 2018,"£139,995","£161,750",3 Bedrooms,+16%
KA1,Oct 2007,Dec 2018,"£70,998","£45,000",1 Bedroom,-37%
KA1,Oct 2007,Dec 2018,"£128,998","£79,998",All,-38%
KA1,Oct 2007,Dec 2018,"£98,000","£66,500",2 Bedrooms,-32%
KA1,Oct 2007,Dec 2018,"£345,000","£329,000",5+ Bedrooms,-5%
KA1,Oct 2007,Dec 2018,"£270,000","£240,000",4 Bedrooms,-11%
KA10,Oct 2007,Dec 2018,"£155,000","£146,500",3 Bedrooms,-5%
KA10,Oct 2007,Dec 2018,"£71,250","£60,500",1 Bedroom,-15%
KA10,Oct 2007,Dec 2018,"£235,000","£119,500",All,-49%
KA10,Oct 2007,Dec 2018,"£117,000","£89,500",2 Bedrooms,-24%
KA10,Oct 2007,Dec 2018,"£382,000","£350,000",5+ Bedrooms,-8%
KA10,Oct 2007,Dec 2018,"£313,000","£300,000",4 Bedrooms,-4%
KA11,Oct 2007,Dec 2018,"£109,000","£86,000",3 Bedrooms,-21%
KA11,Oct 2007,Dec 2018,"£69,995","£77,500",1 Bedroom,+11%
KA11,Oct 2007,Dec 2018,"£110,000","£90,000",All,-18%
KA11,Oct 2007,Dec 2018,"£83,750","£69,995",2 Bedrooms,-16%
KA11,Oct 2007,Dec 2018,"£225,000","£301,000",5+ Bedrooms,+34%
KA11,Oct 2007,Dec 2018,"£202,498","£214,750",4 Bedrooms,+6%
KA12,Oct 2007,Dec 2018,"£97,973","£82,000",3 Bedrooms,-16%
KA12,Oct 2007,Dec 2018,"£59,995","£48,000",1 Bedroom,-20%
KA12,Oct 2007,Dec 2018,"£99,973","£75,000",All,-25%
KA12,Oct 2007,Dec 2018,"£107,495","£59,950",2 Bedrooms,-44%
KA12,Oct 2007,Dec 2018,-,"£235,000",5+ Bedrooms,-
KA12,Oct 2007,Dec 2018,"£245,000","£208,495",4 Bedrooms,-15%
KA13,Oct 2007,Dec 2018,"£144,000","£79,000",3 Bedrooms,-45%
KA13,Oct 2007,Dec 2018,"£60,500","£31,000",1 Bedroom,-49%
KA13,Oct 2007,Dec 2018,"£143,000","£75,500",All,-47%
KA13,Oct 2007,Dec 2018,"£88,000","£65,000",2 Bedrooms,-26%
KA13,Oct 2007,Dec 2018,"£230,000","£280,000",5+ Bedrooms,+22%
KA13,Oct 2007,Dec 2018,"£184,995","£169,995",4 Bedrooms,-8%
KA14,Oct 2007,Dec 2018,-,"£155,000",3 Bedrooms,-
KA14,Oct 2007,Dec 2018,"£59,995","£39,995",1 Bedroom,-33%
KA14,Oct 2007,Dec 2018,"£66,998","£140,000",All,+109%
KA14,Oct 2007,Dec 2018,"£74,000","£119,950",2 Bedrooms,+62%
KA14,Oct 2007,Dec 2018,-,-,5+ Bedrooms,-
KA14,Oct 2007,Dec 2018,-,-,4 Bedrooms,-
KA15,Oct 2007,Dec 2018,"£159,000","£125,000",3 Bedrooms,-21%
KA15,Oct 2007,Dec 2018,"£58,000","£35,000",1 Bedroom,-40%
KA15,Oct 2007,Dec 2018,"£150,000","£80,000",All,-47%
KA15,Oct 2007,Dec 2018,"£85,000","£69,000",2 Bedrooms,-19%
KA15,Oct 2007,Dec 2018,-,"£185,000",5+ Bedrooms,-
