Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
BN10,Sep 2006,Dec 2018,"£116,950","£190,000",1 Bedroom,+62%
BN10,Sep 2006,Dec 2018,"£214,975","£309,000",All,+44%
BN10,Sep 2006,Dec 2018,"£185,950","£281,250",2 Bedrooms,+51%
BN10,Sep 2006,Dec 2018,"£412,475","£492,475",5+ Bedrooms,+19%
BN10,Sep 2006,Dec 2018,"£274,950","£377,475",4 Bedrooms,+37%
BN11,Sep 2006,Dec 2018,"£229,950","£360,000",3 Bedrooms,+57%
BN11,Sep 2006,Dec 2018,"£124,950","£160,000",1 Bedroom,+28%
BN11,Sep 2006,Dec 2018,"£184,973","£260,000",All,+41%
BN11,Sep 2006,Dec 2018,"£169,950","£250,000",2 Bedrooms,+47%
BN11,Sep 2006,Dec 2018,"£465,000","£697,475",5+ Bedrooms,+50%
BN11,Sep 2006,Dec 2018,"£325,000","£575,000",4 Bedrooms,+77%
BN12,Sep 2006,Dec 2018,"£289,950","£400,000",3 Bedrooms,+38%
BN12,Sep 2006,Dec 2018,"£117,450","£133,750",1 Bedroom,+14%
BN12,Sep 2006,Dec 2018,"£289,950","£400,000",All,+38%
BN12,Sep 2006,Dec 2018,"£230,000","£330,000",2 Bedrooms,+43%
BN12,Sep 2006,Dec 2018,"£562,475","£589,975",5+ Bedrooms,+5%
BN12,Sep 2006,Dec 2018,"£384,950","£625,000",4 Bedrooms,+62%
BN13,Sep 2006,Dec 2018,"£224,950","£340,000",3 Bedrooms,+51%
BN13,Sep 2006,Dec 2018,"£92,500","£163,750",1 Bedroom,+77%
BN13,Sep 2006,Dec 2018,"£232,500","£330,250",All,+42%
BN13,Sep 2006,Dec 2018,"£185,500","£270,000",2 Bedrooms,+46%
BN13,Sep 2006,Dec 2018,"£452,500","£612,500",5+ Bedrooms,+35%
BN13,Sep 2006,Dec 2018,"£289,950","£425,000",4 Bedrooms,+47%
BN14,Sep 2006,Dec 2018,"£237,000","£350,000",3 Bedrooms,+48%
BN14,Sep 2006,Dec 2018,"£109,950","£130,000",1 Bedroom,+18%
BN14,Sep 2006,Dec 2018,"£229,950","£355,000",All,+54%
BN14,Sep 2006,Dec 2018,"£164,950","£250,000",2 Bedrooms,+52%
BN14,Sep 2006,Dec 2018,"£494,950","£795,000",5+ Bedrooms,+61%
BN14,Sep 2006,Dec 2018,"£320,000","£542,500",4 Bedrooms,+70%
BN15,Sep 2006,Dec 2018,"£210,000","£325,000",3 Bedrooms,+55%
BN15,Sep 2006,Dec 2018,"£119,950","£165,000",1 Bedroom,+38%
BN15,Sep 2006,Dec 2018,"£209,998","£290,000",All,+38%
BN15,Sep 2006,Dec 2018,"£194,950","£280,000",2 Bedrooms,+44%
BN15,Sep 2006,Dec 2018,"£507,500","£650,000",5+ Bedrooms,+28%
BN15,Sep 2006,Dec 2018,"£289,950","£475,000",4 Bedrooms,+64%
BN16,Sep 2006,Dec 2018,"£250,000","£350,000",3 Bedrooms,+40%
BN16,Sep 2006,Dec 2018,"£115,000","£137,498",1 Bedroom,+20%
BN16,Sep 2006,Dec 2018,"£269,950","£355,000",All,+32%
BN16,Sep 2006,Dec 2018,"£207,500","£292,475",2 Bedrooms,+41%
BN16,Sep 2006,Dec 2018,"£579,950","£1,250,000",5+ Bedrooms,+116%
BN16,Sep 2006,Dec 2018,"£422,500","£440,000",4 Bedrooms,+4%
BN17,Sep 2006,Dec 2018,"£192,950","£270,000",3 Bedrooms,+40%
BN17,Sep 2006,Dec 2018,"£97,000","£144,950",1 Bedroom,+49%
BN17,Sep 2006,Dec 2018,"£189,950","£260,000",All,+37%
BN17,Sep 2006,Dec 2018,"£160,725","£225,000",2 Bedrooms,+40%
BN17,Sep 2006,Dec 2018,"£376,225","£495,000",5+ Bedrooms,+32%
BN17,Sep 2006,Dec 2018,"£270,000","£360,000",4 Bedrooms,+33%
BN18,Sep 2006,Dec 2018,"£310,000","£420,000",3 Bedrooms,+35%
BN18,Sep 2006,Dec 2018,"£84,995","£200,000",1 Bedroom,+135%
BN18,Sep 2006,Dec 2018,"£299,950","£420,000",All,+40%
BN18,Sep 2006,Dec 2018,"£289,950","£320,000",2 Bedrooms,+10%
BN18,Sep 2006,Dec 2018,"£850,000","£1,250,000",5+ Bedrooms,+47%
BN18,Sep 2006,Dec 2018,"£512,000","£555,000",4 Bedrooms,+8%
BN2,Sep 2006,Dec 2018,"£289,475","£425,000",3 Bedrooms,+47%
BN2,Sep 2006,Dec 2018,"£152,000","£220,000",1 Bedroom,+45%
BN2,Sep 2006,Dec 2018,"£289,950","£380,000",All,+31%
BN2,Sep 2006,Dec 2018,"£249,950","£325,000",2 Bedrooms,+30%
BN2,Sep 2006,Dec 2018,"£500,000","£772,500",5+ Bedrooms,+55%
BN2,Sep 2006,Dec 2018,"£379,950","£550,000",4 Bedrooms,+45%
BN20,Sep 2006,Dec 2018,"£249,950","£375,000",3 Bedrooms,+50%
BN20,Sep 2006,Dec 2018,"£102,950","£126,250",1 Bedroom,+23%
BN20,Sep 2006,Dec 2018,"£225,000","£365,000",All,+62%
BN20,Sep 2006,Dec 2018,"£191,500","£282,450",2 Bedrooms,+47%
BN20,Sep 2006,Dec 2018,"£550,000","£670,000",5+ Bedrooms,+22%
BN20,Sep 2006,Dec 2018,"£352,475","£475,000",4 Bedrooms,+35%
BN21,Sep 2006,Dec 2018,"£225,000","£320,000",3 Bedrooms,+42%
BN21,Sep 2006,Dec 2018,"£97,250","£134,950",1 Bedroom,+39%
BN21,Sep 2006,Dec 2018,"£174,950","£240,000",All,+37%
BN21,Sep 2006,Dec 2018,"£165,000","£220,000",2 Bedrooms,+33%
BN21,Sep 2006,Dec 2018,"£340,000","£600,000",5+ Bedrooms,+76%
BN21,Sep 2006,Dec 2018,"£352,500","£475,000",4 Bedrooms,+35%
BN22,Sep 2006,Dec 2018,"£190,475","£265,000",3 Bedrooms,+39%
BN22,Sep 2006,Dec 2018,"£94,950","£115,000",1 Bedroom,+21%
BN22,Sep 2006,Dec 2018,"£185,475","£240,000",All,+29%
BN22,Sep 2006,Dec 2018,"£155,000","£209,950",2 Bedrooms,+35%
BN22,Sep 2006,Dec 2018,"£299,950","£475,000",5+ Bedrooms,+58%
BN22,Sep 2006,Dec 2018,"£242,475","£337,500",4 Bedrooms,+39%
BN23,Sep 2006,Dec 2018,"£219,995","£297,500",3 Bedrooms,+35%
BN23,Sep 2006,Dec 2018,"£134,950","£130,000",1 Bedroom,-4%
BN23,Sep 2006,Dec 2018,"£215,475","£274,950",All,+28%
BN23,Sep 2006,Dec 2018,"£189,250","£235,000",2 Bedrooms,+24%
BN23,Sep 2006,Dec 2018,"£277,475","£410,000",5+ Bedrooms,+48%
BN23,Sep 2006,Dec 2018,"£249,950","£389,975",4 Bedrooms,+56%
BN24,Sep 2006,Dec 2018,"£227,500","£300,000",3 Bedrooms,+32%
BN24,Sep 2006,Dec 2018,"£96,975","£130,000",1 Bedroom,+34%
BN24,Sep 2006,Dec 2018,"£212,950","£300,000",All,+41%
BN24,Sep 2006,Dec 2018,"£164,950","£250,000",2 Bedrooms,+52%
BN24,Sep 2006,Dec 2018,"£552,500","£560,000",5+ Bedrooms,+1%
BN24,Sep 2006,Dec 2018,"£289,950","£375,000",4 Bedrooms,+29%
BN25,Sep 2006,Dec 2018,"£235,000","£375,000",3 Bedrooms,+60%
BN25,Sep 2006,Dec 2018,"£114,950","£150,000",1 Bedroom,+30%
BN25,Sep 2006,Dec 2018,"£239,950","£340,000",All,+42%
BN25,Sep 2006,Dec 2018,"£187,950","£264,950",2 Bedrooms,+41%
BN25,Sep 2006,Dec 2018,"£412,500","£650,000",5+ Bedrooms,+58%
BN25,Sep 2006,Dec 2018,"£309,975","£450,000",4 Bedrooms,+45%
BN26,Sep 2006,Dec 2018,"£249,950","£287,500",3 Bedrooms,+15%
BN26,Sep 2006,Dec 2018,"£104,975","£139,950",1 Bedroom,+33%
BN26,Sep 2006,Dec 2018,"£229,975","£299,950",All,+30%
BN26,Sep 2006,Dec 2018,"£189,950","£250,000",2 Bedrooms,+32%
BN26,Sep 2006,Dec 2018,"£450,000","£1,050,000",5+ Bedrooms,+133%
BN26,Sep 2006,Dec 2018,"£329,950","£587,500",4 Bedrooms,+78%
BN27,Sep 2006,Dec 2018,"£201,225","£290,000",3 Bedrooms,+44%
BN27,Sep 2006,Dec 2018,"£92,500","£155,000",1 Bedroom,+68%
BN27,Sep 2006,Dec 2018,"£199,950","£300,000",All,+50%
BN27,Sep 2006,Dec 2018,"£160,000","£239,950",2 Bedrooms,+50%
BN27,Sep 2006,Dec 2018,"£602,475","£600,000",5+ Bedrooms,-0%
BN27,Sep 2006,Dec 2018,"£319,975","£389,998",4 Bedrooms,+22%
BN3,Sep 2006,Dec 2018,"£317,000","£507,500",3 Bedrooms,+60%
BN3,Sep 2006,Dec 2018,"£167,500","£250,000",1 Bedroom,+49%
BN3,Sep 2006,Dec 2018,"£299,950","£375,000",All,+25%
BN3,Sep 2006,Dec 2018,"£265,000","£350,000",2 Bedrooms,+32%
BN3,Sep 2006,Dec 2018,"£785,000","£1,000,000",5+ Bedrooms,+27%
BN3,Sep 2006,Dec 2018,"£469,950","£725,000",4 Bedrooms,+54%
BN41,Sep 2006,Dec 2018,"£214,950","£349,950",3 Bedrooms,+63%
BN41,Sep 2006,Dec 2018,"£143,950","£190,000",1 Bedroom,+32%
BN41,Sep 2006,Dec 2018,"£203,248","£300,000",All,+48%
BN41,Sep 2006,Dec 2018,"£184,950","£270,000",2 Bedrooms,+46%
BN41,Sep 2006,Dec 2018,"£299,950","£462,500",5+ Bedrooms,+54%
BN41,Sep 2006,Dec 2018,"£299,950","£437,500",4 Bedrooms,+46%
BN43,Sep 2006,Dec 2018,"£233,475","£399,950",3 Bedrooms,+71%
BN43,Sep 2006,Dec 2018,"£145,000","£159,950",1 Bedroom,+10%
BN43,Sep 2006,Dec 2018,"£227,475","£350,000",All,+54%
BN43,Sep 2006,Dec 2018,"£199,950","£290,000",2 Bedrooms,+45%
BN43,Sep 2006,Dec 2018,"£849,975","£699,950",5+ Bedrooms,-18%
BN43,Sep 2006,Dec 2018,"£293,725","£550,000",4 Bedrooms,+87%
BN42,Sep 2006,Dec 2018,"£219,950","£367,500",3 Bedrooms,+67%
BN42,Sep 2006,Dec 2018,-,"£165,000",1 Bedroom,-
BN42,Sep 2006,Dec 2018,"£239,950","£344,975",All,+44%
BN42,Sep 2006,Dec 2018,"£224,950","£240,000",2 Bedrooms,+7%
BN42,Sep 2006,Dec 2018,"£325,950","£985,000",5+ Bedrooms,+202%
BN42,Sep 2006,Dec 2018,"£350,000","£475,000",4 Bedrooms,+36%
BN44,Sep 2006,Dec 2018,"£249,999","£385,000",3 Bedrooms,+54%
BN44,Sep 2006,Dec 2018,"£168,000","£158,000",1 Bedroom,-6%
BN44,Sep 2006,Dec 2018,"£289,475","£395,000",All,+36%
BN44,Sep 2006,Dec 2018,"£247,475","£332,500",2 Bedrooms,+34%
BN44,Sep 2006,Dec 2018,"£762,500","£550,000",5+ Bedrooms,-28%
BN44,Sep 2006,Dec 2018,"£342,475","£550,000",4 Bedrooms,+61%
BN45,Sep 2006,Dec 2018,-,"£499,950",3 Bedrooms,-
BN45,Sep 2006,Dec 2018,-,-,1 Bedroom,-
BN45,Sep 2006,Dec 2018,"£539,950","£524,950",All,-3%
BN45,Sep 2006,Dec 2018,"£265,000","£462,475",2 Bedrooms,+75%
BN45,Sep 2006,Dec 2018,"£539,950","£795,000",5+ Bedrooms,+47%
BN45,Sep 2006,Dec 2018,"£524,950",-,4 Bedrooms,-
BN5,Sep 2006,Dec 2018,"£275,000","£399,950",3 Bedrooms,+45%
BN5,Sep 2006,Dec 2018,"£166,225","£174,950",1 Bedroom,+5%
BN5,Sep 2006,Dec 2018,"£379,950","£439,995",All,+16%
BN5,Sep 2006,Dec 2018,"£207,500","£337,500",2 Bedrooms,+63%
BN5,Sep 2006,Dec 2018,"£625,000","£1,050,000",5+ Bedrooms,+68%
BN5,Sep 2006,Dec 2018,"£484,998","£482,498",4 Bedrooms,-1%
BN51,Aug 2009,Dec 2010,"£299,950",-,3 Bedrooms,-
BN51,Aug 2009,Dec 2010,-,"£120,000",1 Bedroom,-
BN51,Aug 2009,Dec 2010,"£299,950","£120,000",All,-60%
BN51,Aug 2009,Dec 2010,-,-,2 Bedrooms,-
BN51,Aug 2009,Dec 2010,-,-,5+ Bedrooms,-
BN51,Aug 2009,Dec 2010,-,-,4 Bedrooms,-
BN50,Sep 2007,Oct 2010,"£599,950",-,3 Bedrooms,-
BN50,Sep 2007,Oct 2010,-,-,1 Bedroom,-
BN50,Sep 2007,Oct 2010,"£487,475","£499,950",All,+3%
BN50,Sep 2007,Oct 2010,"£375,000",-,2 Bedrooms,-
BN50,Sep 2007,Oct 2010,-,-,5+ Bedrooms,-
BN50,Sep 2007,Oct 2010,-,"£499,950",4 Bedrooms,-
BN52,Sep 2007,Apr 2011,"£299,950","£399,950",3 Bedrooms,+33%
BN52,Sep 2007,Apr 2011,-,"£199,950",1 Bedroom,-
BN52,Sep 2007,Apr 2011,"£512,475","£299,950",All,-41%
BN52,Sep 2007,Apr 2011,-,-,2 Bedrooms,-
BN52,Sep 2007,Apr 2011,-,-,5+ Bedrooms,-
BN52,Sep 2007,Apr 2011,"£725,000",-,4 Bedrooms,-
BN6,Sep 2006,Dec 2018,"£349,950","£495,000",3 Bedrooms,+41%
BN6,Sep 2006,Dec 2018,"£120,950","£205,000",1 Bedroom,+69%
BN6,Sep 2006,Dec 2018,"£297,498","£499,975",All,+68%
BN6,Sep 2006,Dec 2018,"£235,000","£275,000",2 Bedrooms,+17%
BN6,Sep 2006,Dec 2018,"£650,000","£1,022,500",5+ Bedrooms,+57%
BN6,Sep 2006,Dec 2018,"£499,950","£600,000",4 Bedrooms,+20%
BN7,Sep 2006,Dec 2018,"£329,975","£492,498",3 Bedrooms,+49%
BN7,Sep 2006,Dec 2018,"£140,000","£200,000",1 Bedroom,+43%
BN7,Sep 2006,Dec 2018,"£289,950","£469,950",All,+62%
BN7,Sep 2006,Dec 2018,"£224,995","£325,000",2 Bedrooms,+44%
BN7,Sep 2006,Dec 2018,"£585,000","£1,195,000",5+ Bedrooms,+104%
BN7,Sep 2006,Dec 2018,"£400,000","£759,975",4 Bedrooms,+90%
BN8,Sep 2006,Dec 2018,"£325,000","£385,000",3 Bedrooms,+18%
BN8,Sep 2006,Dec 2018,-,"£161,250",1 Bedroom,-
BN8,Sep 2006,Dec 2018,"£350,000","£445,000",All,+27%
BN8,Sep 2006,Dec 2018,"£210,000","£272,500",2 Bedrooms,+30%
BN8,Sep 2006,Dec 2018,"£665,000","£950,000",5+ Bedrooms,+43%
BN8,Sep 2006,Dec 2018,"£399,725","£610,000",4 Bedrooms,+53%
BN88,Apr 2010,Dec 2018,-,-,3 Bedrooms,-
BN88,Apr 2010,Dec 2018,-,-,1 Bedroom,-
BN88,Apr 2010,Dec 2018,"£289,950","£375,000",All,+29%
BN88,Apr 2010,Dec 2018,"£289,950","£375,000",2 Bedrooms,+29%
BN88,Apr 2010,Dec 2018,-,-,5+ Bedrooms,-
BN88,Apr 2010,Dec 2018,-,-,4 Bedrooms,-
BN9,Sep 2006,Dec 2018,"£186,500","£265,000",3 Bedrooms,+42%
BN9,Sep 2006,Dec 2018,"£114,250","£124,950",1 Bedroom,+9%
BN9,Sep 2006,Dec 2018,"£177,500","£259,950",All,+46%
BN9,Sep 2006,Dec 2018,"£155,000","£209,950",2 Bedrooms,+35%
BN9,Sep 2006,Dec 2018,"£264,475","£350,000",5+ Bedrooms,+32%
BN9,Sep 2006,Dec 2018,"£269,950","£385,000",4 Bedrooms,+43%
BN99,Apr 2011,Jun 2018,-,-,3 Bedrooms,-
BN99,Apr 2011,Jun 2018,-,-,1 Bedroom,-
BN99,Apr 2011,Jun 2018,"£134,950","£166,250",All,+23%
BN99,Apr 2011,Jun 2018,"£134,950","£166,250",2 Bedrooms,+23%
BN99,Apr 2011,Jun 2018,-,-,5+ Bedrooms,-
BN99,Apr 2011,Jun 2018,-,-,4 Bedrooms,-
BR1,Sep 2006,Dec 2018,"£279,950","£475,000",3 Bedrooms,+70%
BR1,Sep 2006,Dec 2018,"£155,000","£250,000",1 Bedroom,+61%
BR1,Sep 2006,Dec 2018,"£270,250","£405,000",All,+50%
BR1,Sep 2006,Dec 2018,"£219,995","£350,000",2 Bedrooms,+59%
BR1,Sep 2006,Dec 2018,"£690,000","£1,375,000",5+ Bedrooms,+99%
BR1,Sep 2006,Dec 2018,"£475,000","£699,998",4 Bedrooms,+47%
BR3,Sep 2006,Dec 2018,"£300,000","£550,000",3 Bedrooms,+83%
BR3,Sep 2006,Dec 2018,"£159,950","£270,000",1 Bedroom,+69%
BR3,Sep 2006,Dec 2018,"£265,000","£459,998",All,+74%
BR3,Sep 2006,Dec 2018,"£219,950","£377,475",2 Bedrooms,+72%
BR3,Sep 2006,Dec 2018,"£670,000","£1,125,000",5+ Bedrooms,+68%
BR3,Sep 2006,Dec 2018,"£425,000","£649,950",4 Bedrooms,+53%
BR2,Sep 2006,Dec 2018,"£295,000","£499,950",3 Bedrooms,+69%
BR2,Sep 2006,Dec 2018,"£172,500","£270,000",1 Bedroom,+57%
BR2,Sep 2006,Dec 2018,"£282,500","£450,000",All,+59%
BR2,Sep 2006,Dec 2018,"£228,725","£360,000",2 Bedrooms,+57%
BR2,Sep 2006,Dec 2018,"£662,500","£1,300,000",5+ Bedrooms,+96%
BR2,Sep 2006,Dec 2018,"£419,973","£747,500",4 Bedrooms,+78%
BR4,Sep 2006,Dec 2018,"£359,995","£550,000",3 Bedrooms,+53%
BR4,Sep 2006,Dec 2018,"£131,248","£135,000",1 Bedroom,+3%
BR4,Sep 2006,Dec 2018,"£349,950","£572,500",All,+64%
BR4,Sep 2006,Dec 2018,"£204,000","£407,475",2 Bedrooms,+100%
BR4,Sep 2006,Dec 2018,"£520,000","£775,000",5+ Bedrooms,+49%
BR4,Sep 2006,Dec 2018,"£407,473","£674,998",4 Bedrooms,+66%
BR5,Sep 2006,Dec 2018,"£229,995","£400,000",3 Bedrooms,+74%
BR5,Sep 2006,Dec 2018,"£124,975","£190,000",1 Bedroom,+52%
BR5,Sep 2006,Dec 2018,"£229,950","£385,000",All,+67%
BR5,Sep 2006,Dec 2018,"£182,500","£300,000",2 Bedrooms,+64%
BR5,Sep 2006,Dec 2018,"£779,950","£730,000",5+ Bedrooms,-6%
BR5,Sep 2006,Dec 2018,"£425,000","£635,000",4 Bedrooms,+49%
BR6,Sep 2006,Dec 2018,"£305,000","£500,000",3 Bedrooms,+64%
BR6,Sep 2006,Dec 2018,"£386,750","£249,995",1 Bedroom,-35%
BR6,Sep 2006,Dec 2018,"£349,950","£500,000",All,+43%
BR6,Sep 2006,Dec 2018,"£227,500","£385,000",2 Bedrooms,+69%
BR6,Sep 2006,Dec 2018,"£795,000","£1,095,000",5+ Bedrooms,+38%
BR6,Sep 2006,Dec 2018,"£410,000","£650,000",4 Bedrooms,+59%
BR7,Sep 2006,Dec 2018,"£369,995","£512,500",3 Bedrooms,+39%
BR7,Sep 2006,Dec 2018,"£159,000","£239,975",1 Bedroom,+51%
BR7,Sep 2006,Dec 2018,"£429,950","£525,000",All,+22%
BR7,Sep 2006,Dec 2018,"£249,973","£399,950",2 Bedrooms,+60%
BR7,Sep 2006,Dec 2018,"£850,000","£1,300,000",5+ Bedrooms,+53%
BR7,Sep 2006,Dec 2018,"£562,000","£850,000",4 Bedrooms,+51%
BR8,Sep 2006,Dec 2018,"£205,000","£350,000",3 Bedrooms,+71%
BR8,Sep 2006,Dec 2018,"£138,500","£175,000",1 Bedroom,+26%
BR8,Sep 2006,Dec 2018,"£212,498","£349,999",All,+65%
BR8,Sep 2006,Dec 2018,"£195,995","£282,500",2 Bedrooms,+44%
BR8,Sep 2006,Dec 2018,"£465,000","£525,000",5+ Bedrooms,+13%
BR8,Sep 2006,Dec 2018,"£330,000","£530,000",4 Bedrooms,+61%
BS1,Sep 2006,Dec 2018,"£450,000","£625,000",3 Bedrooms,+39%
BS1,Sep 2006,Dec 2018,"£163,000","£225,000",1 Bedroom,+38%
BS1,Sep 2006,Dec 2018,"£247,500","£377,500",All,+53%
BS1,Sep 2006,Dec 2018,"£255,000","£427,500",2 Bedrooms,+68%
BS1,Sep 2006,Dec 2018,"£460,000","£475,000",5+ Bedrooms,+3%
BS1,Sep 2006,Dec 2018,"£462,500","£799,950",4 Bedrooms,+73%
BS10,Sep 2006,Dec 2018,"£164,950","£260,000",3 Bedrooms,+58%
BS10,Sep 2006,Dec 2018,"£103,998","£145,000",1 Bedroom,+39%
BS10,Sep 2006,Dec 2018,"£175,000","£240,000",All,+37%
BS10,Sep 2006,Dec 2018,"£150,998","£182,500",2 Bedrooms,+21%
BS10,Sep 2006,Dec 2018,"£399,950","£697,500",5+ Bedrooms,+74%
BS10,Sep 2006,Dec 2018,"£282,500","£350,000",4 Bedrooms,+24%
BS11,Sep 2006,Dec 2018,"£159,950","£229,975",3 Bedrooms,+44%
BS11,Sep 2006,Dec 2018,"£122,500","£152,000",1 Bedroom,+24%
BS11,Sep 2006,Dec 2018,"£147,950","£220,000",All,+49%
BS11,Sep 2006,Dec 2018,"£141,225","£185,000",2 Bedrooms,+31%
BS11,Sep 2006,Dec 2018,"£250,000","£450,000",5+ Bedrooms,+80%
BS11,Sep 2006,Dec 2018,"£250,000","£274,975",4 Bedrooms,+10%
BS13,Sep 2006,Dec 2018,"£165,000","£267,475",3 Bedrooms,+62%
BS13,Sep 2006,Dec 2018,"£140,000","£155,000",1 Bedroom,+11%
BS13,Sep 2006,Dec 2018,"£159,995","£265,000",All,+66%
BS13,Sep 2006,Dec 2018,"£126,950","£199,998",2 Bedrooms,+58%
BS13,Sep 2006,Dec 2018,"£350,000","£419,998",5+ Bedrooms,+20%
BS13,Sep 2006,Dec 2018,"£195,000","£340,000",4 Bedrooms,+74%
BS14,Sep 2006,Dec 2018,"£173,950","£285,000",3 Bedrooms,+64%
BS14,Sep 2006,Dec 2018,"£98,725","£134,950",1 Bedroom,+37%
BS14,Sep 2006,Dec 2018,"£174,998","£285,000",All,+63%
BS14,Sep 2006,Dec 2018,"£154,973","£179,995",2 Bedrooms,+16%
BS14,Sep 2006,Dec 2018,"£300,000","£420,000",5+ Bedrooms,+40%
BS14,Sep 2006,Dec 2018,"£289,950","£352,998",4 Bedrooms,+22%
BS15,Sep 2006,Dec 2018,"£178,473","£260,000",3 Bedrooms,+46%
BS15,Sep 2006,Dec 2018,"£118,725","£150,000",1 Bedroom,+26%
BS15,Sep 2006,Dec 2018,"£174,950","£264,995",All,+51%
BS15,Sep 2006,Dec 2018,"£146,995","£220,000",2 Bedrooms,+50%
BS15,Sep 2006,Dec 2018,"£450,000","£557,500",5+ Bedrooms,+24%
BS15,Sep 2006,Dec 2018,"£249,998","£379,950",4 Bedrooms,+52%
BS16,Sep 2006,Dec 2018,"£194,995","£320,000",3 Bedrooms,+64%
BS16,Sep 2006,Dec 2018,"£126,950","£150,000",1 Bedroom,+18%
BS16,Sep 2006,Dec 2018,"£209,995","£299,998",All,+43%
BS16,Sep 2006,Dec 2018,"£164,950","£228,950",2 Bedrooms,+39%
BS16,Sep 2006,Dec 2018,"£475,000","£595,000",5+ Bedrooms,+25%
BS16,Sep 2006,Dec 2018,"£279,995","£420,000",4 Bedrooms,+50%
BS2,Sep 2006,Dec 2018,"£239,950","£370,000",3 Bedrooms,+54%
BS2,Sep 2006,Dec 2018,"£128,725","£210,000",1 Bedroom,+63%
BS2,Sep 2006,Dec 2018,"£157,475","£262,500",All,+67%
BS2,Sep 2006,Dec 2018,"£155,000","£275,000",2 Bedrooms,+77%
BS2,Sep 2006,Dec 2018,-,-,5+ Bedrooms,-
BS2,Sep 2006,Dec 2018,"£239,950","£449,000",4 Bedrooms,+87%
BS20,Sep 2006,Dec 2018,"£239,950","£342,975",3 Bedrooms,+43%
BS20,Sep 2006,Dec 2018,"£155,000","£191,000",1 Bedroom,+23%
BS20,Sep 2006,Dec 2018,"£239,950","£325,000",All,+35%
BS20,Sep 2006,Dec 2018,"£190,950","£260,000",2 Bedrooms,+36%
BS20,Sep 2006,Dec 2018,"£487,500","£735,000",5+ Bedrooms,+51%
BS20,Sep 2006,Dec 2018,"£334,950","£437,475",4 Bedrooms,+31%
BS21,Sep 2006,Dec 2018,"£209,500","£336,995",3 Bedrooms,+61%
BS21,Sep 2006,Dec 2018,"£123,450","£170,000",1 Bedroom,+38%
BS21,Sep 2006,Dec 2018,"£214,975","£349,500",All,+63%
BS21,Sep 2006,Dec 2018,"£165,000","£249,950",2 Bedrooms,+51%
BS21,Sep 2006,Dec 2018,"£499,950","£800,000",5+ Bedrooms,+60%
BS21,Sep 2006,Dec 2018,"£365,000","£520,000",4 Bedrooms,+42%
BS22,Sep 2006,Dec 2018,"£174,725","£249,500",3 Bedrooms,+43%
BS22,Sep 2006,Dec 2018,"£87,950","£110,000",1 Bedroom,+25%
BS22,Sep 2006,Dec 2018,"£199,950","£242,450",All,+21%
BS22,Sep 2006,Dec 2018,"£163,500","£200,000",2 Bedrooms,+22%
BS22,Sep 2006,Dec 2018,"£349,995","£360,000",5+ Bedrooms,+3%
BS22,Sep 2006,Dec 2018,"£249,950","£335,000",4 Bedrooms,+34%
BS23,Sep 2006,Dec 2018,"£169,950","£240,000",3 Bedrooms,+41%
BS23,Sep 2006,Dec 2018,"£98,725","£110,000",1 Bedroom,+11%
BS23,Sep 2006,Dec 2018,"£165,000","£170,000",All,+3%
BS23,Sep 2006,Dec 2018,"£139,975","£150,000",2 Bedrooms,+7%
BS23,Sep 2006,Dec 2018,"£394,225","£435,000",5+ Bedrooms,+10%
BS23,Sep 2006,Dec 2018,"£275,000","£350,000",4 Bedrooms,+27%
BS24,Sep 2006,Dec 2018,"£217,475","£239,950",3 Bedrooms,+10%
BS24,Sep 2006,Dec 2018,"£148,475","£135,000",1 Bedroom,-9%
BS24,Sep 2006,Dec 2018,"£225,000","£239,950",All,+7%
BS24,Sep 2006,Dec 2018,"£140,975","£170,000",2 Bedrooms,+21%
BS24,Sep 2006,Dec 2018,"£367,000","£550,000",5+ Bedrooms,+50%
BS24,Sep 2006,Dec 2018,"£239,950","£299,950",4 Bedrooms,+25%
BS25,Sep 2006,Dec 2018,"£255,000","£380,000",3 Bedrooms,+49%
BS25,Sep 2006,Dec 2018,"£105,000","£87,500",1 Bedroom,-17%
BS25,Sep 2006,Dec 2018,"£367,500","£450,000",All,+22%
BS25,Sep 2006,Dec 2018,"£249,950","£152,475",2 Bedrooms,-39%
BS25,Sep 2006,Dec 2018,"£562,000","£700,000",5+ Bedrooms,+25%
BS25,Sep 2006,Dec 2018,"£388,000","£520,000",4 Bedrooms,+34%
BS26,Sep 2006,Dec 2018,"£269,950","£375,000",3 Bedrooms,+39%
BS26,Sep 2006,Dec 2018,"£99,000","£95,000",1 Bedroom,-4%
BS26,Sep 2006,Dec 2018,"£354,975","£385,000",All,+8%
BS26,Sep 2006,Dec 2018,"£177,498","£185,000",2 Bedrooms,+4%
BS26,Sep 2006,Dec 2018,"£627,500","£650,000",5+ Bedrooms,+4%
BS26,Sep 2006,Dec 2018,"£414,950","£437,498",4 Bedrooms,+5%
BS27,Sep 2006,Dec 2018,"£245,000","£307,475",3 Bedrooms,+26%
BS27,Sep 2006,Dec 2018,"£124,950","£120,000",1 Bedroom,-4%
BS27,Sep 2006,Dec 2018,"£287,500","£300,000",All,+4%
BS27,Sep 2006,Dec 2018,"£209,500","£170,000",2 Bedrooms,-19%
BS27,Sep 2006,Dec 2018,"£465,000","£595,000",5+ Bedrooms,+28%
